 "Provinsi" , "kode_provinsi" , "PDRB_per_kapita_2014_juta_rupiah" , "Longitude" , "Latitude" , "tahun" , "jumlah_penduduk" , "jumlah_penderita" , "jumlah_penerima" , "persentasefilariasis" , "persentasepenerima" ,
 "Jawa Barat" , "32" , "30,11" , "107.6" , "-6.8667" , "2009" , "43249300" , "474" , "13470226" , "0.001095971495492412593961" , "0.001095971495492412593961" ,
 "Jawa Barat" , "32" , "30,11" , "107.6" , "-6.8667" , "2012" , "44401193" , "480" , "10798567" , "0.001081052033894674857047" , "0.001081052033894674857047" ,
 "Jawa Tengah" , "33" , "27,61" , "110.1167" , "-6.9667" , "2011" , "32723600" , "412" , "2335201" , "0.001259030180053539341637" , "0.001259030180053539341637" ,
 "Jawa Tengah" , "33" , "27,61" , "110.1167" , "-6.9667" , "2012" , "32302600" , "412" , "3186829" , "0.001275439128738863125568" , "0.001275439128738863125568" ,
 "Jawa Tengah" , "33" , "27,61" , "110.1167" , "-6.9667" , "2009" , "32540300" , "412" , "839904" , "0.001266122316020442343801" , "0.001266122316020442343801" ,
 "Jawa Tengah" , "33" , "27,61" , "110.1167" , "-6.9667" , "2010" , "32635000" , "412" , "1210068" , "0.00126244829171135284204" , "0.00126244829171135284204" ,
 "Jawa Tengah" , "33" , "27,61" , "110.1167" , "-6.9667" , "2008" , "32451600" , "395" , "1112523" , "0.001217197303060557876961" , "0.001217197303060557876961" ,
 "Jawa Timur" , "35" , "39,90" , "112.733" , "-7.7167" , "2008" , "36269500" , "219" , "0" , "0.000603813121217551937578" , "0.000603813121217551937578" ,
 "Jawa Timur" , "35" , "39,90" , "112.733" , "-7.7167" , "2012" , "36734500" , "238" , "2118900" , "0.000647892308320516136057" , "0.000647892308320516136057" ,
 "Jawa Timur" , "35" , "39,90" , "112.733" , "-7.7167" , "2010" , "36510500" , "219" , "1448473" , "0.00059982744689883732077" , "0.00059982744689883732077" ,
